f	page	initiator	type	public/private	preciseLoc	comments	subject	recipient	present
504	83	Vidame	non-verbal exchange narrated by the narrator	Il alla au devant d'elle (p.83)	Location unspecified	Vidame meets his niece "il alla au devant d'elle"	Mme de Clèves	Mme de Clèves	No one else present
505	83	M. de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	Jewlery story encounter	Mme de Clèves	Mme de Clèves	unspecified
506	84	Italian jewler	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Mme de Clèves	Mme de Clèves	M. de Clèves
507	84	M. de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		Mme de Clèves	Marguerite de France, La cour	La cour
508	85	Marguerite de France	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		Mme de Clèves	M. de Clèves	La cour
509	85	Madame de Dampierre	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		Mme de Clèves	Marguerite de France	La cour
510	85	Marguerite de France	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		Mme de Clèves	M. de Clèves	La cour
511	85	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Mademoiselle de Chartres parut en effet le jour suivant; elle fut reí_u des Reines avec tous les agrí©ments(p.85)	Mme de Clèves	La cour	La cour
512	85	Marguerite de France	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		M. de Clèves	Mme de Clèves	La cour
513	85	Marguerite de France	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		Mme de Clèves	M. de Clèves	Mme de Clèves, La cour
514	85	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of Marguerite de France		Mme de Clèves	Mme de Clèves	La cour
515	86	Chevalier Guise	verbal exchange narrated by the narrator	Private	Court	"ils sortirent ensemble de chez Madame." 	Mme de Clèves	M. de Clèves	No one else present
516	86	La cour	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	La cour	La cour
517	86	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Clèves	unspecified
518	86	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Chartres	unspecified
519	86	Elisabeth (fille de France)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Clèves	La cour
520	88	Mme de Chartres	verbal exchange narrated by the narrator	Private	Location unspecified		Mme de Clèves, La cour	Mme de Clèves	No one else present
521	89	Cardinal de Lorraine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Chevalier Guise	La cour
522	89	Mme de Chartres	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	She makes clear that she would never agree to her daughter's marriage with Chevalier de Guise	Mme de Clèves, Chevalier Guise	Cardinal de Lorraine	La cour
523	89	Vidame	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Chevalier Guise	Cardinal de Lorraine	La cour
524	89	Le duc de Nevers	verbal exchange narrated by the narrator	Private	At court but in private quarters	The conversation is private but "son emportement se rí©pandit bien tot íæ la Cour et alla jusqu'íæ Mme de Chartres" (89)	Mme de Clèves	M. de Clèves	La cour
525	89	La Dauphine	verbal exchange narrated by the narrator	Private	Location unspecified	Chastelart doit dire íæ D'Anville de se trouver chez la Reine ce soir." 	Monsieur d'Anville	Chastelart	No one else present
526	89	Monsieur d'Anville	verbal exchange narrated by the narrator	Private	Court		La Dauphine	Chastelart	No one else present
527	91	Monsieur d'Anville	verbal exchange narrated by the narrator	Private	chez les reines		Mme de Clèves	La Dauphine	unspecified
528	91	impersonal character	verbal exchange narrated by the narrator	unspecified	Court		Mme de Clèves	Valentinois	unspecified
529	91	Valentinois	verbal exchange narrated by the narrator	unspecified	Court		Mme de Clèves	Le Roi (Henri II)	unspecified
